date,time,script,source_count,speakers,angles,sounds,duration_s,notes
2026-07-16,11:22,play_scenario2.py,4,"9,10,11,12",",,,",arunangshubanerjee-traffic-commotion-with-siren-and-car-horns-urban-street-noise-457233.mp3; patolenin-urban-sounds-in-the-city-streets-at-sunset-358154.mp3; BGD_150203_010_STR.CH4.wav; freesound_community-urban-seagulls-30068.mp3,80.8,background noise
2026-07-16,11:22,play_scenario2.py,2,"1,2","0,45",arctic_a0016.wav; arctic_a0046.wav,3.9,
2026-07-16,11:22,play_scenario2.py,2,"1,3","0,90",arctic_a0016.wav; arctic_a0046.wav,3.9,
2026-07-16,11:22,play_scenario2.py,2,"1,4","0,135",arctic_a0016.wav; arctic_a0046.wav,3.9,
2026-07-16,11:22,play_scenario2.py,2,"1,5","0,180",arctic_a0016.wav; arctic_a0046.wav,3.9,
2026-07-16,11:22,play_scenario2.py,2,"2,3","45,90",arctic_a0016.wav; arctic_a0046.wav,3.9,
2026-07-16,11:22,play_scenario2.py,2,"3,4","90,135",arctic_a0016.wav; arctic_a0046.wav,3.9,
2026-07-16,11:22,play_scenario2.py,2,"3,5","90,180",arctic_a0016.wav; arctic_a0046.wav,3.9,
2026-07-16,11:22,play_scenario2.py,2,"3,6","90,225",arctic_a0016.wav; arctic_a0046.wav,3.9,
2026-07-16,11:22,play_scenario2.py,2,"3,7","90,270",arctic_a0016.wav; arctic_a0046.wav,3.9,
2026-07-16,11:34,play_scenario3_noiseless.py,3,"1,2,3","0,45,90",arctic_a0046.wav; arctic_a0021.wav; arctic_a0016.wav,3.9,
2026-07-16,11:34,play_scenario3_noiseless.py,3,"1,3,5","0,90,180",arctic_a0046.wav; arctic_a0021.wav; arctic_a0016.wav,3.9,
2026-07-16,11:34,play_scenario3_noiseless.py,3,"1,2,5","0,45,180",arctic_a0046.wav; arctic_a0021.wav; arctic_a0016.wav,3.9,
2026-07-16,11:34,play_scenario3_noiseless.py,3,"1,2,6","0,45,225",arctic_a0046.wav; arctic_a0021.wav; arctic_a0016.wav,3.9,
2026-07-16,11:34,play_scenario3_noiseless.py,3,"1,3,4","0,90,135",arctic_a0046.wav; arctic_a0021.wav; arctic_a0016.wav,3.9,
2026-07-16,11:34,play_scenario3_noiseless.py,3,"1,4,7","0,135,270",arctic_a0046.wav; arctic_a0021.wav; arctic_a0016.wav,3.9,
2026-07-16,11:34,play_scenario3_noiseless.py,3,"2,3,4","45,90,135",arctic_a0046.wav; arctic_a0021.wav; arctic_a0016.wav,3.9,
2026-07-16,11:35,play_scenario3_noiseless.py,3,"1,2,3","0,45,90",arctic_a0076.wav; arctic_a0016.wav; arctic_a0039.wav,4.0,
2026-07-16,11:35,play_scenario3_noiseless.py,3,"1,3,5","0,90,180",arctic_a0076.wav; arctic_a0016.wav; arctic_a0039.wav,4.0,
2026-07-16,11:35,play_scenario3_noiseless.py,3,"1,2,5","0,45,180",arctic_a0076.wav; arctic_a0016.wav; arctic_a0039.wav,4.0,
2026-07-16,11:35,play_scenario3_noiseless.py,3,"1,2,6","0,45,225",arctic_a0076.wav; arctic_a0016.wav; arctic_a0039.wav,4.0,
2026-07-16,11:35,play_scenario3_noiseless.py,3,"1,3,4","0,90,135",arctic_a0076.wav; arctic_a0016.wav; arctic_a0039.wav,4.0,
2026-07-16,11:35,play_scenario3_noiseless.py,3,"1,4,7","0,135,270",arctic_a0076.wav; arctic_a0016.wav; arctic_a0039.wav,4.0,
2026-07-16,11:35,play_scenario3_noiseless.py,3,"2,3,4","45,90,135",arctic_a0076.wav; arctic_a0016.wav; arctic_a0039.wav,4.0,
2026-07-16,11:36,play_scenario3.py,4,"9,10,11,12",",,,",BGD_150203_010_STR.CH2.wav; BGD_150203_010_STR.CH5.wav; freesound_community-19-urban-background-sound-25831.mp3; arunangshubanerjee-traffic-commotion-with-siren-and-car-horns-urban-street-noise-457233.mp3,49.0,background noise
2026-07-16,11:36,play_scenario3.py,3,"1,2,3","0,45,90",arctic_a0046.wav; arctic_a0021.wav; arctic_a0039.wav,4.0,
2026-07-16,11:36,play_scenario3.py,3,"1,3,5","0,90,180",arctic_a0046.wav; arctic_a0021.wav; arctic_a0039.wav,4.0,
2026-07-16,11:36,play_scenario3.py,3,"1,2,5","0,45,180",arctic_a0046.wav; arctic_a0021.wav; arctic_a0039.wav,4.0,
2026-07-16,11:36,play_scenario3.py,3,"1,2,6","0,45,225",arctic_a0046.wav; arctic_a0021.wav; arctic_a0039.wav,4.0,
2026-07-16,11:36,play_scenario3.py,3,"1,3,4","0,90,135",arctic_a0046.wav; arctic_a0021.wav; arctic_a0039.wav,4.0,
2026-07-16,11:36,play_scenario3.py,3,"1,4,7","0,135,270",arctic_a0046.wav; arctic_a0021.wav; arctic_a0039.wav,4.0,
2026-07-16,11:36,play_scenario3.py,3,"2,3,4","45,90,135",arctic_a0046.wav; arctic_a0021.wav; arctic_a0039.wav,4.0,
2026-07-16,11:37,play_scenario3.py,4,"9,10,11,12",",,,",BGD_150203_010_STR.CH2.wav; koiroylers-urban-traffic-355941.mp3; freesound_community-urban-seagulls-30068.mp3; BGD_150203_010_STR.CH2.wav,49.0,background noise
2026-07-16,11:37,play_scenario3.py,3,"1,2,3","0,45,90",arctic_a0016.wav; arctic_a0039.wav; arctic_a0021.wav,4.0,
2026-07-16,11:37,play_scenario3.py,3,"1,3,5","0,90,180",arctic_a0016.wav; arctic_a0039.wav; arctic_a0021.wav,4.0,
2026-07-16,11:37,play_scenario3.py,3,"1,2,5","0,45,180",arctic_a0016.wav; arctic_a0039.wav; arctic_a0021.wav,4.0,
2026-07-16,11:37,play_scenario3.py,3,"1,2,6","0,45,225",arctic_a0016.wav; arctic_a0039.wav; arctic_a0021.wav,4.0,
2026-07-16,11:37,play_scenario3.py,3,"1,3,4","0,90,135",arctic_a0016.wav; arctic_a0039.wav; arctic_a0021.wav,4.0,
2026-07-16,11:37,play_scenario3.py,3,"1,4,7","0,135,270",arctic_a0016.wav; arctic_a0039.wav; arctic_a0021.wav,4.0,
2026-07-16,11:37,play_scenario3.py,3,"2,3,4","45,90,135",arctic_a0016.wav; arctic_a0039.wav; arctic_a0021.wav,4.0,
2026-07-16,11:38,play_scenario3.py,4,"9,10,11,12",",,,",patolenin-urban-sounds-in-the-city-streets-at-sunset-358154.mp3; patolenin-urban-sounds-in-the-city-streets-at-sunset-358154.mp3; BGD_150203_010_STR.CH2.wav; patolenin-urban-sounds-in-the-city-streets-at-sunset-358154.mp3,49.0,background noise
2026-07-16,11:38,play_scenario3.py,3,"1,2,3","0,45,90",arctic_a0046.wav; arctic_a0021.wav; arctic_a0039.wav,4.0,
2026-07-16,11:38,play_scenario3.py,3,"1,3,5","0,90,180",arctic_a0046.wav; arctic_a0021.wav; arctic_a0039.wav,4.0,
2026-07-16,11:38,play_scenario3.py,3,"1,2,5","0,45,180",arctic_a0046.wav; arctic_a0021.wav; arctic_a0039.wav,4.0,
2026-07-16,11:38,play_scenario3.py,3,"1,2,6","0,45,225",arctic_a0046.wav; arctic_a0021.wav; arctic_a0039.wav,4.0,
2026-07-16,11:38,play_scenario3.py,3,"1,3,4","0,90,135",arctic_a0046.wav; arctic_a0021.wav; arctic_a0039.wav,4.0,
2026-07-16,11:38,play_scenario3.py,3,"1,4,7","0,135,270",arctic_a0046.wav; arctic_a0021.wav; arctic_a0039.wav,4.0,
2026-07-16,11:38,play_scenario3.py,3,"2,3,4","45,90,135",arctic_a0046.wav; arctic_a0021.wav; arctic_a0039.wav,4.0,
2026-07-16,11:40,play_scenario3.py,4,"9,10,11,12",",,,",freesound_community-19-urban-background-sound-25831.mp3; freesound_community-urban-seagulls-30068.mp3; BGD_150203_010_STR.CH2.wav; BGD_150203_010_STR.CH1.wav,49.0,background noise
2026-07-16,11:40,play_scenario3.py,3,"1,2,3","0,45,90",arctic_a0046.wav; arctic_a0039.wav; arctic_a0076.wav,4.0,
2026-07-16,11:40,play_scenario3.py,3,"1,3,5","0,90,180",arctic_a0046.wav; arctic_a0039.wav; arctic_a0076.wav,4.0,
2026-07-16,11:40,play_scenario3.py,3,"1,2,5","0,45,180",arctic_a0046.wav; arctic_a0039.wav; arctic_a0076.wav,4.0,
2026-07-16,11:40,play_scenario3.py,3,"1,2,6","0,45,225",arctic_a0046.wav; arctic_a0039.wav; arctic_a0076.wav,4.0,
2026-07-16,11:40,play_scenario3.py,3,"1,3,4","0,90,135",arctic_a0046.wav; arctic_a0039.wav; arctic_a0076.wav,4.0,
2026-07-16,11:40,play_scenario3.py,3,"1,4,7","0,135,270",arctic_a0046.wav; arctic_a0039.wav; arctic_a0076.wav,4.0,
2026-07-16,11:40,play_scenario3.py,3,"2,3,4","45,90,135",arctic_a0046.wav; arctic_a0039.wav; arctic_a0076.wav,4.0,
2026-07-16,11:41,play_scenario3.py,4,"9,10,11,12",",,,",BGD_150203_010_STR.CH3.wav; freesound_community-urban-seagulls-30068.mp3; freesound_community-urban-seagulls-30068.mp3; BGD_150203_010_STR.CH3.wav,49.0,background noise
2026-07-16,11:41,play_scenario3.py,3,"1,2,3","0,45,90",arctic_a0021.wav; arctic_a0039.wav; arctic_a0076.wav,4.0,
2026-07-16,11:41,play_scenario3.py,3,"1,3,5","0,90,180",arctic_a0021.wav; arctic_a0039.wav; arctic_a0076.wav,4.0,
2026-07-16,11:41,play_scenario3.py,3,"1,2,5","0,45,180",arctic_a0021.wav; arctic_a0039.wav; arctic_a0076.wav,4.0,
2026-07-16,11:41,play_scenario3.py,3,"1,2,6","0,45,225",arctic_a0021.wav; arctic_a0039.wav; arctic_a0076.wav,4.0,
2026-07-16,11:41,play_scenario3.py,3,"1,3,4","0,90,135",arctic_a0021.wav; arctic_a0039.wav; arctic_a0076.wav,4.0,
2026-07-16,11:41,play_scenario3.py,3,"1,4,7","0,135,270",arctic_a0021.wav; arctic_a0039.wav; arctic_a0076.wav,4.0,
2026-07-16,11:41,play_scenario3.py,3,"2,3,4","45,90,135",arctic_a0021.wav; arctic_a0039.wav; arctic_a0076.wav,4.0,
2026-07-16,11:45,play_speech.py,1,8,315,arctic_a0016.wav,3.9,
2026-07-16,11:45,play_speech.py,1,3,90,arctic_a0039.wav,4.0,
2026-07-16,11:45,play_speech.py,1,8,315,arctic_a0021.wav,3.0,
2026-07-16,11:45,play_speech.py,1,1,0,arctic_a0076.wav,2.6,
2026-07-16,11:46,urban_noise.py,4,"9,10,11,12",",,,",koiroylers-urban-traffic-355941.mp3; BGD_150203_010_STR.CH3.wav; patolenin-urban-sounds-in-the-city-streets-at-sunset-358154.mp3; BGD_150203_010_STR.CH2.wav,5.0,urban noise
2026-07-16,11:46,play_speech.py,1,1,0,arctic_a0039.wav,4.0,
2026-07-16,11:46,play_speech.py,1,1,0,arctic_a0076.wav,2.6,
2026-07-16,11:46,play_speech.py,1,1,0,arctic_a0021.wav,3.0,
2026-07-16,11:46,play_speech.py,1,1,0,arctic_a0076.wav,2.6,
2026-07-16,11:47,play_scenario1.py,4,"9,10,11,12",",,,",BGD_150203_010_STR.CH1.wav; freesound_community-19-urban-background-sound-25831.mp3; BGD_150203_010_STR.CH3.wav; BGD_150203_010_STR.CH1.wav,43.7,background noise
2026-07-16,11:47,play_scenario1.py,1,1,0,arctic_a0021.wav,3.0,
2026-07-16,11:47,play_scenario1.py,1,2,45,arctic_a0021.wav,3.0,
2026-07-16,11:47,play_scenario1.py,1,3,90,arctic_a0021.wav,3.0,
2026-07-16,11:47,play_scenario1.py,1,4,135,arctic_a0021.wav,3.0,
2026-07-16,11:47,play_scenario1.py,1,5,180,arctic_a0021.wav,3.0,
2026-07-16,11:47,play_scenario1.py,1,6,225,arctic_a0021.wav,3.0,
2026-07-16,11:47,play_scenario1.py,1,7,270,arctic_a0021.wav,3.0,
2026-07-16,11:47,play_scenario1.py,1,8,315,arctic_a0021.wav,3.0,
2026-07-16,12:04,play_scenario1.py,4,"9,10,11,12",",,,",arunangshubanerjee-traffic-commotion-with-siren-and-car-horns-urban-street-noise-457233.mp3; arunangshubanerjee-traffic-commotion-with-siren-and-car-horns-urban-street-noise-457233.mp3; BGD_150203_010_STR.CH1.wav; BGD_150203_010_STR.CH5.wav,46.7,background noise
2026-07-16,12:04,play_scenario1.py,1,1,0,arctic_a0046.wav,3.3,
2026-07-16,12:04,play_scenario1.py,1,2,45,arctic_a0046.wav,3.3,
2026-07-16,12:04,play_scenario1.py,1,3,90,arctic_a0046.wav,3.3,
2026-07-16,12:04,play_scenario1.py,1,4,135,arctic_a0046.wav,3.3,
2026-07-16,12:04,play_scenario1.py,1,5,180,arctic_a0046.wav,3.3,
2026-07-16,12:04,play_scenario1.py,1,6,225,arctic_a0046.wav,3.3,
2026-07-16,12:04,play_scenario1.py,1,7,270,arctic_a0046.wav,3.3,
2026-07-16,12:04,play_scenario1.py,1,8,315,arctic_a0046.wav,3.3,
2026-07-16,12:05,play_scenario2_noiseless.py,2,"1,2","0,45",arctic_a0076.wav; arctic_a0021.wav,3.0,
2026-07-16,12:05,play_scenario2_noiseless.py,2,"1,3","0,90",arctic_a0076.wav; arctic_a0021.wav,3.0,
2026-07-16,12:05,play_scenario2_noiseless.py,2,"1,4","0,135",arctic_a0076.wav; arctic_a0021.wav,3.0,
2026-07-16,12:05,play_scenario2_noiseless.py,2,"1,5","0,180",arctic_a0076.wav; arctic_a0021.wav,3.0,
2026-07-16,12:05,play_scenario2_noiseless.py,2,"2,3","45,90",arctic_a0076.wav; arctic_a0021.wav,3.0,
2026-07-16,12:05,play_scenario2_noiseless.py,2,"3,4","90,135",arctic_a0076.wav; arctic_a0021.wav,3.0,
2026-07-16,12:05,play_scenario2_noiseless.py,2,"3,5","90,180",arctic_a0076.wav; arctic_a0021.wav,3.0,
2026-07-16,12:05,play_scenario2_noiseless.py,2,"3,6","90,225",arctic_a0076.wav; arctic_a0021.wav,3.0,
2026-07-16,12:05,play_scenario2_noiseless.py,2,"3,7","90,270",arctic_a0076.wav; arctic_a0021.wav,3.0,
2026-07-16,12:07,play_scenario2.py,4,"9,10,11,12",",,,",BGD_150203_010_STR.CH5.wav; BGD_150203_010_STR.CH3.wav; arunangshubanerjee-traffic-commotion-with-siren-and-car-horns-urban-street-noise-457233.mp3; BGD_150203_010_STR.CH5.wav,61.8,background noise
2026-07-16,12:07,play_scenario2.py,2,"1,2","0,45",arctic_a0021.wav; arctic_a0016.wav,3.9,
2026-07-16,12:07,play_scenario2.py,2,"1,3","0,90",arctic_a0021.wav; arctic_a0016.wav,3.9,
2026-07-16,12:07,play_scenario2.py,2,"1,4","0,135",arctic_a0021.wav; arctic_a0016.wav,3.9,
2026-07-16,12:07,play_scenario2.py,2,"1,5","0,180",arctic_a0021.wav; arctic_a0016.wav,3.9,
2026-07-16,12:07,play_scenario2.py,2,"2,3","45,90",arctic_a0021.wav; arctic_a0016.wav,3.9,
2026-07-16,12:07,play_scenario2.py,2,"3,4","90,135",arctic_a0021.wav; arctic_a0016.wav,3.9,
2026-07-16,12:07,play_scenario2.py,2,"3,5","90,180",arctic_a0021.wav; arctic_a0016.wav,3.9,
2026-07-16,12:07,play_scenario2.py,2,"3,6","90,225",arctic_a0021.wav; arctic_a0016.wav,3.9,
2026-07-16,12:07,play_scenario2.py,2,"3,7","90,270",arctic_a0021.wav; arctic_a0016.wav,3.9,
2026-07-16,12:08,play_scenario3.py,4,"9,10,11,12",",,,",freesound_community-urban-seagulls-30068.mp3; patolenin-urban-sounds-in-the-city-streets-at-sunset-358154.mp3; BGD_150203_010_STR.CH4.wav; arunangshubanerjee-traffic-commotion-with-siren-and-car-horns-urban-street-noise-457233.mp3,44.3,background noise
2026-07-16,12:08,play_scenario3.py,3,"1,2,3","0,45,90",arctic_a0021.wav; arctic_a0046.wav; arctic_a0076.wav,3.3,
2026-07-16,12:08,play_scenario3.py,3,"1,3,5","0,90,180",arctic_a0021.wav; arctic_a0046.wav; arctic_a0076.wav,3.3,
2026-07-16,12:08,play_scenario3.py,3,"1,2,5","0,45,180",arctic_a0021.wav; arctic_a0046.wav; arctic_a0076.wav,3.3,
2026-07-16,12:08,play_scenario3.py,3,"1,2,6","0,45,225",arctic_a0021.wav; arctic_a0046.wav; arctic_a0076.wav,3.3,
2026-07-16,12:08,play_scenario3.py,3,"1,3,4","0,90,135",arctic_a0021.wav; arctic_a0046.wav; arctic_a0076.wav,3.3,
2026-07-16,12:08,play_scenario3.py,3,"1,4,7","0,135,270",arctic_a0021.wav; arctic_a0046.wav; arctic_a0076.wav,3.3,
2026-07-16,12:08,play_scenario3.py,3,"2,3,4","45,90,135",arctic_a0021.wav; arctic_a0046.wav; arctic_a0076.wav,3.3,
2026-07-16,12:09,play_scenario3_noiseless.py,3,"1,2,3","0,45,90",arctic_a0046.wav; arctic_a0039.wav; arctic_a0016.wav,4.0,
2026-07-16,12:09,play_scenario3_noiseless.py,3,"1,3,5","0,90,180",arctic_a0046.wav; arctic_a0039.wav; arctic_a0016.wav,4.0,
2026-07-16,12:09,play_scenario3_noiseless.py,3,"1,2,5","0,45,180",arctic_a0046.wav; arctic_a0039.wav; arctic_a0016.wav,4.0,
2026-07-16,12:09,play_scenario3_noiseless.py,3,"1,2,6","0,45,225",arctic_a0046.wav; arctic_a0039.wav; arctic_a0016.wav,4.0,
2026-07-16,12:09,play_scenario3_noiseless.py,3,"1,3,4","0,90,135",arctic_a0046.wav; arctic_a0039.wav; arctic_a0016.wav,4.0,
2026-07-16,12:09,play_scenario3_noiseless.py,3,"1,4,7","0,135,270",arctic_a0046.wav; arctic_a0039.wav; arctic_a0016.wav,4.0,
2026-07-16,12:09,play_scenario3_noiseless.py,3,"2,3,4","45,90,135",arctic_a0046.wav; arctic_a0039.wav; arctic_a0016.wav,4.0,
2026-07-16,12:10,play_scenario3.py,4,"9,10,11,12",",,,",BGD_150203_010_STR.CH4.wav; BGD_150203_010_STR.CH3.wav; patolenin-urban-sounds-in-the-city-streets-at-sunset-358154.mp3; BGD_150203_010_STR.CH4.wav,49.0,background noise
2026-07-16,12:10,play_scenario3.py,3,"1,2,3","0,45,90",arctic_a0039.wav; arctic_a0021.wav; arctic_a0046.wav,4.0,
2026-07-16,12:10,play_scenario3.py,3,"1,3,5","0,90,180",arctic_a0039.wav; arctic_a0021.wav; arctic_a0046.wav,4.0,
2026-07-16,12:10,play_scenario3.py,3,"1,2,5","0,45,180",arctic_a0039.wav; arctic_a0021.wav; arctic_a0046.wav,4.0,
2026-07-16,12:10,play_scenario3.py,3,"1,2,6","0,45,225",arctic_a0039.wav; arctic_a0021.wav; arctic_a0046.wav,4.0,
2026-07-16,12:10,play_scenario3.py,3,"1,3,4","0,90,135",arctic_a0039.wav; arctic_a0021.wav; arctic_a0046.wav,4.0,
2026-07-16,12:10,play_scenario3.py,3,"1,4,7","0,135,270",arctic_a0039.wav; arctic_a0021.wav; arctic_a0046.wav,4.0,
2026-07-16,12:10,play_scenario3.py,3,"2,3,4","45,90,135",arctic_a0039.wav; arctic_a0021.wav; arctic_a0046.wav,4.0,
2026-07-16,12:12,play_speech.py,1,1,0,arctic_a0046.wav,3.3,
2026-07-16,12:12,play_speech.py,1,4,135,arctic_a0016.wav,3.9,
2026-07-16,12:12,play_speech.py,1,1,0,arctic_a0016.wav,3.9,
2026-07-16,12:12,play_speech.py,1,1,0,arctic_a0039.wav,4.0,
2026-07-16,12:13,play_tone_1k_noise.py,4,"9,10,11,12",",,,",freesound_community-19-urban-background-sound-25831.mp3; patolenin-urban-sounds-in-the-city-streets-at-sunset-358154.mp3; freesound_community-urban-seagulls-30068.mp3; BGD_150203_010_STR.CH5.wav,33.0,background noise
2026-07-16,12:13,play_tone_1k_noise.py,1,7,270,1000Hz_tone,3.0,
2026-07-16,12:13,play_tone_1k_noise.py,1,8,315,1000Hz_tone,3.0,
2026-07-16,12:13,play_tone_1k_noise.py,1,1,0,1000Hz_tone,3.0,
2026-07-16,12:13,play_tone_1k_noise.py,1,2,45,1000Hz_tone,3.0,
2026-07-16,12:13,play_tone_1k_noise.py,1,3,90,1000Hz_tone,3.0,
2026-07-16,12:14,play_tone_5k_noise.py,4,"9,10,11,12",",,,",BGD_150203_010_STR.CH5.wav; koiroylers-urban-traffic-355941.mp3; BGD_150203_010_STR.CH1.wav; patolenin-urban-sounds-in-the-city-streets-at-sunset-358154.mp3,33.0,background noise
2026-07-16,12:14,play_tone_5k_noise.py,1,7,270,5000Hz_tone,3.0,
2026-07-16,12:14,play_tone_5k_noise.py,1,8,315,5000Hz_tone,3.0,
2026-07-16,12:14,play_tone_5k_noise.py,1,1,0,5000Hz_tone,3.0,
2026-07-16,12:14,play_tone_5k_noise.py,1,2,45,5000Hz_tone,3.0,
2026-07-16,12:14,play_tone_5k_noise.py,1,3,90,5000Hz_tone,3.0,
2026-07-16,12:20,play_tone_1k_noise.py,4,"9,10,11,12",",,,",BGD_150203_010_STR.CH1.wav; BGD_150203_010_STR.CH5.wav; patolenin-urban-sounds-in-the-city-streets-at-sunset-358154.mp3; koiroylers-urban-traffic-355941.mp3,33.0,background noise
2026-07-16,12:20,play_tone_1k_noise.py,1,7,270,1000Hz_tone,3.0,
2026-07-16,12:20,play_tone_1k_noise.py,1,8,315,1000Hz_tone,3.0,
2026-07-16,12:20,play_tone_1k_noise.py,1,1,0,1000Hz_tone,3.0,
2026-07-16,12:20,play_tone_1k_noise.py,1,2,45,1000Hz_tone,3.0,
2026-07-16,12:20,play_tone_1k_noise.py,1,3,90,1000Hz_tone,3.0,
2026-07-16,12:21,play_tone_5k_noise.py,4,"9,10,11,12",",,,",freesound_community-19-urban-background-sound-25831.mp3; freesound_community-19-urban-background-sound-25831.mp3; freesound_community-19-urban-background-sound-25831.mp3; koiroylers-urban-traffic-355941.mp3,33.0,background noise
2026-07-16,12:21,play_tone_5k_noise.py,1,7,270,5000Hz_tone,3.0,
2026-07-16,12:21,play_tone_5k_noise.py,1,8,315,5000Hz_tone,3.0,
2026-07-16,12:21,play_tone_5k_noise.py,1,1,0,5000Hz_tone,3.0,
